episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
87,-114.19999999999978,245,0.05,0,50,0.07,0.03,0.6781609195402298,245,0.0326530612244898,7.0
88,34.549999999999585,249,0.05,1,50,0.07,0.03,0.6818181818181818,250,0.096,8.620689655172415
89,-49.24999999999968,126,0.05,0,50,0.07,0.03,0.6741573033707865,126,0.0,3.6
90,239.65000000000043,227,0.05,1,50,0.07,0.03,0.6777777777777778,228,0.0,13.411764705882353
91,271.4500000000007,271,0.05,1,50,0.07,0.03,0.6813186813186813,272,0.007352941176470588,7.771428571428571
92,291.75000000000057,225,0.05,1,50,0.07,0.03,0.6847826086956522,226,0.022123893805309734,4.431372549019608
93,270.9000000000001,62,0.05,1,50,0.07,0.03,0.6881720430107527,63,0.015873015873015872,2.25
94,221.54999999999998,29,0.05,1,50,0.07,0.03,0.6914893617021277,30,0.03333333333333333,2.727272727272727
95,403.34999999999974,73,0.05,1,50,0.07,0.03,0.6947368421052632,74,0.0,1.0724637681159421
96,310.2500000000001,55,0.05,1,50,0.07,0.03,0.6979166666666666,56,0.07142857142857142,1.0980392156862746
97,-62.64999999999984,74,0.05,0,50,0.07,0.03,0.6907216494845361,74,0.013513513513513514,2.642857142857143
98,-88.20000000000009,125,0.05,0,50,0.07,0.03,0.6836734693877551,125,0.0,3.4722222222222223
99,10.45000000000033,132,0.05,0,50,0.07,0.03,0.6767676767676768,132,0.0,2.357142857142857
100,325.70000000000005,46,0.05,1,50,0.07,0.03,0.68,47,0.02127659574468085,1.0217391304347827
101,-77.3999999999989,589,0.05,0,50,0.07,0.03,0.6732673267326733,589,0.003395585738539898,18.40625
102,-92.19999999999997,125,0.05,0,50,0.07,0.03,0.6666666666666666,125,0.008,8.333333333333334
103,393.24999999999983,75,0.05,1,50,0.07,0.03,0.6699029126213593,76,0.013157894736842105,1.1014492753623188
104,401.8499999999998,103,0.05,1,50,0.07,0.03,0.6730769230769231,104,0.0,1.5072463768115942
105,280.20000000000016,76,0.05,1,50,0.07,0.03,0.6761904761904762,77,0.0,2.75
106,283.7000000000014,526,0.05,1,50,0.07,0.03,0.6792452830188679,527,0.0018975332068311196,13.175
107,282.8500000000002,83,0.05,1,50,0.07,0.03,0.6822429906542056,84,0.0,2.896551724137931
108,260.9000000000008,302,0.05,1,50,0.07,0.03,0.6851851851851852,303,0.006600660066006601,9.46875
109,335.50000000000006,50,0.05,1,50,0.07,0.03,0.6880733944954128,51,0.0,1.108695652173913
110,16.000000000001236,1000,0.05,0,50,0.07,0.03,0.6818181818181818,1001,0.0,38.5
111,220.45,11,0.05,1,50,0.07,0.03,0.6846846846846847,12,0.0,1.7142857142857142
112,74.0000000000028,1000,0.05,0,50,0.07,0.03,0.6785714285714286,1001,0.001998001998001998,19.25
