episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
73,-291.8000000000038,877,0.05,0,50,0.07,0.03,0.0821917808219178,877,0.014823261117445839,14.14516129032258
74,-136.79999999999959,257,0.05,0,50,0.07,0.03,0.08108108108108109,257,0.0,28.555555555555557
75,-174.9999999999991,781,0.05,0,50,0.07,0.03,0.08,781,0.011523687580025609,32.541666666666664
76,6.250000000000455,216,0.05,0,50,0.07,0.03,0.07894736842105263,216,0.0,4.909090909090909
77,-101.30000000000004,307,0.05,0,50,0.07,0.03,0.07792207792207792,307,0.003257328990228013,4.873015873015873
78,-254.00000000000068,1000,0.05,0,50,0.07,0.03,0.07692307692307693,1001,0.023976023976023976,45.5
79,-14.00000000000005,1000,0.05,0,50,0.07,0.03,0.0759493670886076,1001,0.0,19.25
80,-22.000000000000277,1000,0.05,0,50,0.07,0.03,0.075,1001,0.001998001998001998,19.25
81,-214.14999999999915,384,0.05,0,50,0.07,0.03,0.07407407407407407,384,0.028645833333333332,18.285714285714285
82,-89.75000000000011,216,0.05,0,50,0.07,0.03,0.07317073170731707,216,0.0,14.4
83,-59.99999999999932,1000,0.05,0,50,0.07,0.03,0.07228915662650602,1001,0.000999000999000999,71.5
84,29.799999999998505,445,0.05,0,50,0.07,0.03,0.07142857142857142,445,0.0022471910112359553,6.742424242424242
85,2.0000000000009877,1000,0.05,0,50,0.07,0.03,0.07058823529411765,1001,0.004995004995004995,22.75
86,-103.15,4,0.05,0,50,0.07,0.03,0.06976744186046512,4,0.0,0.16
87,-59.999999999998494,1000,0.05,0,50,0.07,0.03,0.06896551724137931,1001,0.000999000999000999,45.5
88,-228.0000000000059,1000,0.05,0,50,0.07,0.03,0.06818181818181818,1001,0.02197802197802198,15.88888888888889
89,-89.25000000000023,326,0.05,0,50,0.07,0.03,0.06741573033707865,326,0.0,4.9393939393939394
90,-7.999999999999825,1000,0.05,0,50,0.07,0.03,0.06666666666666667,1001,0.002997002997002997,35.75
91,-36.24999999999875,586,0.05,0,50,0.07,0.03,0.06593406593406594,586,0.0,9.301587301587302
92,-184.54999999999922,792,0.05,0,50,0.07,0.03,0.06521739130434782,792,0.007575757575757576,29.333333333333332
93,-68.69999999999978,335,0.05,0,50,0.07,0.03,0.06451612903225806,335,0.0,13.4
94,-43.99999999999996,1000,0.05,0,50,0.07,0.03,0.06382978723404255,1001,0.002997002997002997,35.75
95,-104.64999999999999,34,0.05,0,50,0.07,0.03,0.06315789473684211,34,0.0,6.8
96,-1.9999999999995612,1000,0.05,0,50,0.07,0.03,0.0625,1001,0.0,16.966101694915253
97,-54.74999999999985,116,0.05,0,50,0.07,0.03,0.061855670103092786,116,0.0,4.64
98,-156.94999999999965,440,0.05,0,50,0.07,0.03,0.061224489795918366,440,0.004545454545454545,18.333333333333332
99,4.0000000000001386,1000,0.05,0,50,0.07,0.03,0.06060606060606061,1001,0.0,37.074074074074076
100,-51.999999999998835,1000,0.05,0,50,0.07,0.03,0.06,1001,0.004995004995004995,35.75
101,-59.99999999999877,1000,0.05,0,50,0.07,0.03,0.0594059405940594,1001,0.000999000999000999,41.708333333333336
102,-43.99999999999961,1000,0.05,0,50,0.07,0.03,0.058823529411764705,1001,0.0,125.125
103,-659.9999999999766,1000,0.05,0,50,0.07,0.03,0.05825242718446602,1001,0.06393606393606394,45.5
104,-2638.0000000000346,1000,0.05,0,50,0.07,0.03,0.057692307692307696,1001,0.2627372627372627,41.708333333333336
105,179.05000000000092,719,0.05,1,50,0.07,0.03,0.06666666666666667,720,0.008333333333333333,28.8
106,-470.0000000000011,1000,0.05,0,50,0.07,0.03,0.0660377358490566,1001,0.04495504495504495,40.04
107,-2798.000000000015,1000,0.05,0,50,0.07,0.03,0.06542056074766354,1001,0.2757242757242757,40.04
108,-140.00000000000006,1000,0.05,0,50,0.07,0.03,0.06481481481481481,1001,0.008991008991008992,125.125
109,-178.00000000000418,1000,0.05,0,50,0.07,0.03,0.06422018348623854,1001,0.016983016983016984,41.708333333333336
110,-69.99999999999876,1000,0.05,0,50,0.07,0.03,0.06363636363636363,1001,0.001998001998001998,125.125
111,-709.9999999999806,1000,0.05,0,50,0.07,0.03,0.06306306306306306,1001,0.06893106893106893,47.666666666666664
112,-1877.9999999999714,1000,0.05,0,50,0.07,0.03,0.0625,1001,0.18081918081918083,40.04
113,-113.99999999999797,1000,0.05,0,50,0.07,0.03,0.061946902654867256,1001,0.006993006993006993,41.708333333333336
114,-123.80000000000017,237,0.05,0,50,0.07,0.03,0.06140350877192982,237,0.0,39.5
115,-176.00000000000148,1000,0.05,0,50,0.07,0.03,0.06086956521739131,1001,0.011988011988011988,111.22222222222223
116,-79.99999999999864,1000,0.05,0,50,0.07,0.03,0.0603448275862069,1001,0.002997002997002997,200.2
117,-86.60000000000005,93,0.05,0,50,0.07,0.03,0.05982905982905983,93,0.0,6.642857142857143
