episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio,loss
140,35.499999999999375,91,0.05,0,50,0.1,0.05,0.55,91,0.0,2.3947368421052633,3892.067626953125
141,637.4500000000004,151,0.05,1,50,0.1,0.05,0.5531914893617021,152,0.0,5.241379310344827,0.0
142,469.19999999999874,216,0.05,1,50,0.1,0.05,0.5563380281690141,217,0.05069124423963134,5.425,0.0
143,804.8999999999996,102,0.05,1,50,0.1,0.05,0.5594405594405595,103,0.0,1.6612903225806452,0.0
144,124.99999999999774,300,0.05,0,50,0.1,0.05,0.5555555555555556,301,0.013289036544850499,6.840909090909091,0.0
145,538.6999999999999,26,0.05,1,50,0.1,0.05,0.5586206896551724,27,0.0,3.375,3068.57958984375
146,598.35,133,0.05,1,50,0.1,0.05,0.5616438356164384,134,0.014925373134328358,4.620689655172414,0.0
147,647.6999999999999,46,0.05,1,50,0.1,0.05,0.564625850340136,47,0.0,1.5666666666666667,0.0
148,-51.799999999999926,37,0.05,0,50,0.1,0.05,0.5608108108108109,37,0.0,2.3125,0.0
149,706.1499999999984,177,0.05,1,50,0.1,0.05,0.5637583892617449,178,0.0056179775280898875,3.7872340425531914,0.0
150,-57.349999999999994,48,0.05,0,50,0.1,0.05,0.56,48,0.0,1.0666666666666667,138.31460571289062
151,79.64999999999912,108,0.05,0,50,0.1,0.05,0.5562913907284768,108,0.0,2.7,0.0
152,557.8000000000001,44,0.05,1,50,0.1,0.05,0.5592105263157895,45,0.06666666666666667,2.25,0.0
153,154.9999999999973,300,0.05,0,50,0.1,0.05,0.5555555555555556,301,0.006644518272425249,6.688888888888889,0.0
154,636.6000000000001,68,0.05,1,50,0.1,0.05,0.5584415584415584,69,0.0,2.4642857142857144,0.0
155,-1.7999999999993577,237,0.05,0,50,0.1,0.05,0.5548387096774193,237,0.008438818565400843,6.405405405405405,1010.9673461914062
156,697.2999999999997,54,0.05,1,50,0.1,0.05,0.5576923076923077,55,0.0,1.375,0.0
157,742.2499999999998,55,0.05,1,50,0.1,0.05,0.5605095541401274,56,0.0,1.1428571428571428,0.0
158,597.9000000000001,42,0.05,1,50,0.1,0.05,0.5632911392405063,43,0.023255813953488372,2.15,0.0
159,623.45,31,0.05,1,50,0.1,0.05,0.5660377358490566,32,0.03125,1.103448275862069,0.0
160,706.0999999999996,78,0.05,1,50,0.1,0.05,0.56875,79,0.02531645569620253,1.58,63.68016052246094
161,110.14999999999702,298,0.05,0,50,0.1,0.05,0.5652173913043478,298,0.0,6.081632653061225,0.0
162,65.00000000000082,300,0.05,0,50,0.1,0.05,0.5617283950617284,301,0.0,7.921052631578948,0.0
163,645.5000000000001,90,0.05,1,50,0.1,0.05,0.5644171779141104,91,0.0,3.033333333333333,0.0
164,696.8999999999996,62,0.05,1,50,0.1,0.05,0.5670731707317073,63,0.0,1.575,0.0
165,680.9499999999995,81,0.05,1,50,0.1,0.05,0.5696969696969697,82,0.0,2.2162162162162162,107.7252197265625
166,523.75,25,0.05,1,50,0.1,0.05,0.572289156626506,26,0.0,5.2,0.0
167,763.3499999999985,233,0.05,1,50,0.1,0.05,0.5748502994011976,234,0.004273504273504274,3.9661016949152543,0.0
168,667.1,58,0.05,1,50,0.1,0.05,0.5773809523809523,59,0.01694915254237288,1.5526315789473684,0.0
169,105.00000000000081,300,0.05,0,50,0.1,0.05,0.5739644970414202,301,0.0,10.033333333333333,0.0
170,124.99999999999902,300,0.05,0,50,0.1,0.05,0.5705882352941176,301,0.013289036544850499,6.404255319148936,1659.6302490234375
171,642.75,45,0.05,1,50,0.1,0.05,0.5730994152046783,46,0.0,1.5862068965517242,0.0
172,530.1499999999999,297,0.05,1,50,0.1,0.05,0.5755813953488372,298,0.0,33.111111111111114,0.0
173,27.850000000000307,144,0.05,0,50,0.1,0.05,0.5722543352601156,144,0.006944444444444444,3.0638297872340425,0.0
174,31.200000000000443,177,0.05,0,50,0.1,0.05,0.5689655172413793,177,0.01694915254237288,3.933333333333333,0.0
175,625.4000000000002,92,0.05,1,50,0.1,0.05,0.5714285714285714,93,0.010752688172043012,3.1,2939.0888671875
176,720.0499999999995,99,0.05,1,50,0.1,0.05,0.5738636363636364,100,0.01,2.0408163265306123,0.0
177,244.999999999997,300,0.05,0,50,0.1,0.05,0.5706214689265536,301,0.0033222591362126247,4.854838709677419,0.0
178,624.4000000000003,112,0.05,1,50,0.1,0.05,0.5730337078651685,113,0.0,4.346153846153846,0.0
179,264.999999999997,300,0.05,0,50,0.1,0.05,0.5698324022346368,301,0.009966777408637873,3.5,0.0
180,154.9999999999972,300,0.05,0,50,0.1,0.05,0.5666666666666667,301,0.009966777408637873,6.840909090909091,5790.18310546875
181,214.99999999999744,300,0.05,0,50,0.1,0.05,0.56353591160221,301,0.009966777408637873,4.854838709677419,0.0
182,634.1500000000003,217,0.05,1,50,0.1,0.05,0.5659340659340659,218,0.0,7.517241379310345,0.0
183,648.0,40,0.05,1,50,0.1,0.05,0.5683060109289617,41,0.0,1.3666666666666667,0.0
