A1-mean,A1-std,A2-mean,A2-std,B1-mean,B1-std,B2-mean,B2-std
258.0,63.64275292600093,251.4,63.832906874119395,184.0,78.87965517166008,194.6,69.31551052975084
98.4,57.90889396284477,241.0,120.0,144.4,103.33363440816355,147.6,92.94213253417419
139.6,134.48806638508862,264.8,72.4,193.6,105.39943073850067,159.2,120.44650264744095
150.6,125.41387483049871,243.6,78.29584918755272,81.0,57.92408825350641,191.2,104.58565867268801
182.6,106.46050911018602,218.0,110.75016930009633,195.0,87.04941125590683,234.0,81.99512180611723
190.8,121.66741552280955,266.4,52.31290471766981,137.4,100.35656430946608,259.0,80.05997751685919
113.2,110.47968138983747,264.8,72.4,231.4,101.11696197967974,177.2,110.19328473187466
211.6,109.49264815502454,199.8,107.8914269068678,202.6,62.15979407945299,249.6,102.8
145.6,127.12135933823238,205.4,81.58823444590524,249.8,102.4,201.2,126.33352682482983
171.8,90.94042005621041,284.6,32.8,181.2,99.12497162672986,254.0,70.5521084022299
167.6,125.76740436217962,267.8,66.4,172.0,119.72635465928126,116.6,90.57284361219978
101.0,109.13661163880799,143.8,131.8414198952666,159.0,116.98888836124566,180.2,83.89851011787994
149.2,124.89099246943312,151.4,122.31860038440597,200.8,126.19413615536976,289.0,24.0
174.8,97.80674823344246,194.4,131.0810436333187,93.6,29.736173257499026,74.8,60.86509673039221
87.6,109.40127970001083,220.0,103.47173527103911,178.2,111.19244578657312,200.2,124.30832635024896
153.0,124.52148409009588,251.6,98.8,164.0,86.46849137113472,258.2,85.60000000000001
243.2,94.71726347398345,215.6,111.59139751790906,189.2,96.63622509183604,189.2,137.3730686852412
190.0,60.50454528380492,298.0,6.0,112.0,97.85295090082874,210.0,82.92647345691242
143.8,99.57389216054578,208.4,113.68658671980613,178.6,98.26616915296944,301.0,0.0
139.6,91.92736262941519,256.6,64.2140171613644,155.4,95.52298152800718,233.6,82.76617666655866
131.0,99.53290913059861,185.2,109.3186168957511,134.8,97.40923980814141,252.6,64.95721668914086
195.8,130.14207620904162,251.2,99.6,288.8,19.06200409191017,110.4,97.03731241125756
65.6,24.05493712317702,264.0,73.00410947337143,116.8,36.41647978594307,163.4,124.51762927393052
192.0,106.10937753092325,203.6,120.64427048144474,163.6,118.45100252847166,237.6,112.40213521103591
184.6,85.97348428440014,245.4,111.2,155.8,108.99064180011054,236.6,78.91413054706996
215.8,109.21977842863443,221.2,100.87695475181633,135.2,89.89193512212317,199.6,85.41100631651638
